NCTCID,contigcanu,deadend,deadendsolved,allpath,theoricalpath,discard,good,goodnorepeat,goodrepeat
NCTC10006,2,2,2,4,4,2,2,2,0
NCTC10332,4,8,0,24,24,24,0,0,0
NCTC10444,4,3,3,20,24,14,6,0,6
NCTC10702,2,4,0,4,4,4,0,0,0
NCTC10766,4,6,4,24,24,21,3,3,0
NCTC10794,3,5,0,12,12,12,0,0,0
NCTC10988,1,0,0,0,0,0,0,0,0
NCTC11126,4,4,3,18,24,13,5,0,5
NCTC11343,7,6,3,72,84,68,4,4,0
NCTC11360,3,6,0,12,12,12,0,0,0
NCTC11435,5,4,0,0,40,0,0,0,0
NCTC11800,2,0,0,4,4,2,2,2,0
NCTC11872,5,6,4,33,40,29,4,4,0
NCTC12123,3,4,1,12,12,10,2,0,2
NCTC12126,6,7,6,44,60,34,10,0,10
NCTC12131,8,6,6,93,112,69,24,0,24
NCTC12132,2,4,2,4,4,3,1,1,0
NCTC12146,2,4,0,1,4,1,0,0,0
NCTC12694,10,20,4,51,180,49,2,2,0
NCTC12841,1,0,0,0,0,0,0,0,0
NCTC12993,2,4,0,4,4,4,0,0,0
NCTC12998,1,2,0,0,0,0,0,0,0
NCTC13095,2,2,0,4,4,3,1,1,0
NCTC13125,3,0,0,12,12,9,3,1,2
NCTC13348,7,7,0,84,84,77,7,0,7
NCTC13463,2,0,0,3,4,1,2,2,0
NCTC13543,2,2,0,2,4,2,0,0,0
NCTC4672,5,8,4,40,40,36,4,0,4
NCTC5050,3,6,4,12,12,10,2,2,0
NCTC5053,5,6,2,40,40,36,4,1,3
NCTC5055,1,2,0,0,0,0,0,0,0
NCTC7152,1,0,0,0,0,0,0,0,0
NCTC7922,6,3,2,60,60,56,4,2,2
NCTC8179,7,4,0,84,84,79,5,3,2
NCTC8500,1,2,0,0,0,0,0,0,0
NCTC8684,1,2,0,0,0,0,0,0,0
NCTC9075,6,8,6,60,60,55,5,5,0
NCTC9078,2,0,0,1,4,1,0,0,0
NCTC9098,4,1,1,24,24,17,7,0,7
NCTC9111,3,2,2,12,12,8,4,0,4
NCTC9112,4,0,0,24,24,14,10,0,10
NCTC9184,0,0,0,0,0,0,0,0,0
NCTC9645,14,23,3,289,364,284,5,2,3
NCTC9646,5,8,4,32,40,29,3,3,0
NCTC9695,2,0,0,2,4,1,1,1,0
Summary,3.71,4.24,1.46,27.13,34.4,24.2,2.93,0.91,2.02
