NCTCID,contigcanu,deadend,deadendsolved,allpath,theoricalpath,discard,good,goodnorepeat,goodrepeat
NCTC10006,2,2,2,4,4,0,4,0,4
NCTC10332,4,8,6,12,24,5,7,0,7
NCTC10444,4,3,3,24,24,16,8,1,7
NCTC10702,2,4,4,4,4,1,3,0,3
NCTC10766,4,6,4,13,24,11,2,2,0
NCTC10794,3,5,3,5,12,3,2,0,2
NCTC10988,1,0,0,0,0,0,0,0,0
NCTC11126,4,4,3,18,24,14,4,1,3
NCTC11343,7,6,3,84,84,80,4,4,0
NCTC11360,3,6,3,2,12,0,2,0,2
NCTC11435,5,4,3,19,40,16,3,1,2
NCTC11800,2,0,0,4,4,0,4,0,4
NCTC11872,5,6,6,24,40,21,3,3,0
NCTC12123,3,4,3,8,12,2,6,0,6
NCTC12126,6,7,2,20,60,19,1,1,0
NCTC12131,8,6,5,85,112,70,15,0,15
NCTC12132,2,4,4,4,4,0,4,0,4
NCTC12146,2,4,2,1,4,0,1,1,0
NCTC12694,10,20,6,74,180,71,3,3,0
NCTC12841,1,0,0,0,0,0,0,0,0
NCTC12993,2,4,4,4,4,0,4,0,4
NCTC12998,1,2,0,0,0,0,0,0,0
NCTC13095,2,2,1,1,4,0,1,1,0
NCTC13125,3,0,0,12,12,5,7,0,7
NCTC13348,7,7,4,61,84,53,8,0,8
NCTC13463,2,0,0,4,4,0,4,0,4
NCTC13543,2,2,1,4,4,3,1,1,0
NCTC4672,5,8,7,40,40,30,10,0,10
NCTC5050,3,6,4,12,12,8,4,0,4
NCTC5053,5,6,6,32,40,28,4,4,0
NCTC5055,1,2,0,0,0,0,0,0,0
NCTC7152,1,0,0,0,0,0,0,0,0
NCTC7922,6,3,3,60,60,42,18,0,18
NCTC8179,7,4,2,84,84,70,14,0,14
NCTC8500,1,2,0,0,0,0,0,0,0
NCTC8684,1,2,0,0,0,0,0,0,0
NCTC9075,6,8,4,50,60,46,4,4,0
NCTC9078,2,0,0,2,4,0,2,0,2
NCTC9098,4,1,1,24,24,21,3,0,3
NCTC9111,3,2,2,12,12,6,6,0,6
NCTC9112,4,0,0,18,24,6,12,0,12
NCTC9184,0,0,0,0,0,0,0,0,0
NCTC9645,14,23,18,289,364,262,27,1,26
NCTC9646,5,8,4,24,40,21,3,3,0
NCTC9695,2,0,0,4,4,0,4,0,4
Summary,3.71,4.24,2.73,25.37,34.4,20.66,4.71,0.68,4.02
